iter=34 terr=0.05396 serr=0.47427 act=1633215 obj=102465.10244 diff=0.00873
iter=35 terr=0.05250 serr=0.46583 act=1633215 obj=101039.92050 diff=0.01391
iter=36 terr=0.05186 serr=0.46612 act=1633215 obj=99886.40698 diff=0.01142
iter=37 terr=0.05009 serr=0.45524 act=1633215 obj=98636.13024 diff=0.01252
iter=38 terr=0.04923 serr=0.44902 act=1633215 obj=97806.15648 diff=0.00841
iter=39 terr=0.04837 serr=0.44512 act=1633215 obj=96893.30593 diff=0.00933
iter=40 terr=0.04717 serr=0.43675 act=1633215 obj=95765.60402 diff=0.01164
iter=41 terr=0.04677 serr=0.43971 act=1633215 obj=94923.85786 diff=0.00879
iter=42 terr=0.04447 serr=0.42203 act=1633215 obj=93031.57548 diff=0.01993
iter=43 terr=0.04400 serr=0.41894 act=1633215 obj=92523.99814 diff=0.00546
iter=44 terr=0.04339 serr=0.41450 act=1633215 obj=91925.66330 diff=0.00647
iter=45 terr=0.04278 serr=0.40989 act=1633215 obj=91173.67913 diff=0.00818
iter=46 terr=0.04126 serr=0.39994 act=1633215 obj=89950.64665 diff=0.01341
iter=47 terr=0.04121 serr=0.40693 act=1633215 obj=91713.78380 diff=0.01960
iter=48 terr=0.04027 serr=0.39347 act=1633215 obj=89421.26810 diff=0.02500
iter=49 terr=0.03945 serr=0.38745 act=1633215 obj=88712.01255 diff=0.00793
iter=50 terr=0.03875 serr=0.38426 act=1633215 obj=88104.59193 diff=0.00685
iter=51 terr=0.03771 serr=0.37785 act=1633215 obj=87540.45010 diff=0.00640
iter=52 terr=0.03643 serr=0.36980 act=1633215 obj=86670.82705 diff=0.00993
iter=53 terr=0.03560 serr=0.36333 act=1633215 obj=85981.80379 diff=0.00795
iter=54 terr=0.03493 serr=0.35917 act=1633215 obj=85500.34175 diff=0.00560
iter=55 terr=0.03491 serr=0.35811 act=1633215 obj=85122.56924 diff=0.00442
iter=56 terr=0.03457 serr=0.35476 act=1633215 obj=84692.89196 diff=0.00505
iter=57 terr=0.03473 serr=0.35775 act=1633215 obj=84383.21833 diff=0.00366
iter=58 terr=0.03418 serr=0.35363 act=1633215 obj=84097.25609 diff=0.00339
iter=59 terr=0.03300 serr=0.34487 act=1633215 obj=83601.82941 diff=0.00589
iter=60 terr=0.03259 serr=0.34197 act=1633215 obj=83313.16248 diff=0.00345
iter=61 terr=0.03145 serr=0.33338 act=1633215 obj=83255.91178 diff=0.00069
iter=62 terr=0.03174 serr=0.33524 act=1633215 obj=82921.49954 diff=0.00402
iter=63 terr=0.03130 serr=0.33099 act=1633215 obj=82493.65558 diff=0.00516
iter=64 terr=0.03126 serr=0.33083 act=1633215 obj=82323.59569 diff=0.00206
iter=65 terr=0.03129 serr=0.33154 act=1633215 obj=81963.19946 diff=0.00438
iter=66 terr=0.03081 serr=0.32855 act=1633215 obj=81540.30767 diff=0.00516
iter=67 terr=0.03014 serr=0.32320 act=1633215 obj=81126.38462 diff=0.00508
iter=68 terr=0.02915 serr=0.31438 act=1633215 obj=81128.07743 diff=0.00002
iter=69 terr=0.02960 serr=0.31879 act=1633215 obj=80974.39366 diff=0.00189
iter=70 terr=0.02938 serr=0.31676 act=1633215 obj=80849.91967 diff=0.00154
iter=71 terr=0.02910 serr=0.31512 act=1633215 obj=80677.51815 diff=0.00213
iter=72 terr=0.02884 serr=0.31315 act=1633215 obj=80409.73211 diff=0.00332
iter=73 terr=0.02874 serr=0.31289 act=1633215 obj=80290.13614 diff=0.00149
iter=74 terr=0.02859 serr=0.31164 act=1633215 obj=80058.98918 diff=0.00288
iter=75 terr=0.02844 serr=0.31025 act=1633215 obj=79946.06339 diff=0.00141
iter=76 terr=0.02854 serr=0.31154 act=1633215 obj=79838.78927 diff=0.00134
iter=77 terr=0.02803 serr=0.30587 act=1633215 obj=79790.53096 diff=0.00060
iter=78 terr=0.02815 serr=0.30710 act=1633215 obj=79671.20683 diff=0.00150
iter=79 terr=0.02805 serr=0.30684 act=1633215 obj=79571.49966 diff=0.00125
iter=80 terr=0.02777 serr=0.30462 act=1633215 obj=79487.22180 diff=0.00106
iter=81 terr=0.02755 serr=0.30243 act=1633215 obj=79369.88431 diff=0.00148
iter=82 terr=0.02772 serr=0.30475 act=1633215 obj=79542.83661 diff=0.00218
iter=83 terr=0.02737 serr=0.30069 act=1633215 obj=79288.99680 diff=0.00319
iter=84 terr=0.02713 serr=0.29869 act=1633215 obj=79171.80505 diff=0.00148
iter=85 terr=0.02710 serr=0.29834 act=1633215 obj=79103.58105 diff=0.00086
iter=86 terr=0.02713 serr=0.29840 act=1633215 obj=79018.34410 diff=0.00108
iter=87 terr=0.02723 serr=0.29911 act=1633215 obj=78948.21211 diff=0.00089
iter=88 terr=0.02718 serr=0.29798 act=1633215 obj=78899.67858 diff=0.00061
iter=89 terr=0.02719 serr=0.29815 act=1633215 obj=78837.31361 diff=0.00079
iter=90 terr=0.02704 serr=0.29615 act=1633215 obj=78766.66657 diff=0.00090
iter=91 terr=0.02690 serr=0.29531 act=1633215 obj=78699.85819 diff=0.00085
iter=92 terr=0.02690 serr=0.29521 act=1633215 obj=78631.34921 diff=0.00087
iter=93 terr=0.02694 serr=0.29550 act=1633215 obj=78608.11510 diff=0.00030
iter=94 terr=0.02683 serr=0.29444 act=1633215 obj=78558.25530 diff=0.00063
iter=95 terr=0.02684 serr=0.29428 act=1633215 obj=78538.00050 diff=0.00026
iter=96 terr=0.02680 serr=0.29444 act=1633215 obj=78502.03930 diff=0.00046
iter=97 terr=0.02687 serr=0.29560 act=1633215 obj=78479.71510 diff=0.00028
iter=98 terr=0.02675 serr=0.29444 act=1633215 obj=78455.46149 diff=0.00031
iter=99 terr=0.02667 serr=0.29364 act=1633215 obj=78430.98088 diff=0.00031
iter=100 terr=0.02658 serr=0.29312 act=1633215 obj=78407.25576 diff=0.00030
iter=101 terr=0.02663 serr=0.29338 act=1633215 obj=78401.90222 diff=0.00007
iter=102 terr=0.02655 serr=0.29273 act=1633215 obj=78359.89688 diff=0.00054
iter=103 terr=0.02657 serr=0.29299 act=1633215 obj=78349.26215 diff=0.00014
iter=104 terr=0.02662 serr=0.29348 act=1633215 obj=78330.79814 diff=0.00024
iter=105 terr=0.02680 serr=0.29560 act=1633215 obj=78332.09307 diff=0.00002
iter=106 terr=0.02670 serr=0.29447 act=1633215 obj=78320.74336 diff=0.00014
iter=107 terr=0.02669 serr=0.29431 act=1633215 obj=78307.90641 diff=0.00016
iter=108 terr=0.02659 serr=0.29335 act=1633215 obj=78287.83935 diff=0.00026
iter=109 terr=0.02652 serr=0.29257 act=1633215 obj=78275.08803 diff=0.00016
iter=110 terr=0.02652 serr=0.29277 act=1633215 obj=78262.91628 diff=0.00016
iter=111 terr=0.02653 serr=0.29264 act=1633215 obj=78252.99400 diff=0.00013
iter=112 terr=0.02664 serr=0.29357 act=1633215 obj=78238.91247 diff=0.00018
iter=113 terr=0.02657 serr=0.29270 act=1633215 obj=78233.24145 diff=0.00007
iter=114 terr=0.02661 serr=0.29315 act=1633215 obj=78225.99249 diff=0.00009
iter=115 terr=0.02665 serr=0.29360 act=1633215 obj=78218.39622 diff=0.00010

Done!982.12 s


 Finished training for ./t1/train1.nopipe.col!
